Track,Alternate take,Catalog,Recorded,1st BN Release,Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profoundly Blue No. 2,FALSE,Blue Note BLP 5026; B-6505; Mosaic MR6-109,1941,1943,ISSUED,Edmond Hall,Meade 'Lux' Lewis,Charlie Christian,Israel Crosby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Celestial Express,FALSE,Blue Note 17; BLP 5026; B-6505; Mosaic MR6-109,1941,1941,ISSUED,Edmond Hall,Meade 'Lux' Lewis,Charlie Christian,Israel Crosby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variations On A Theme: I. 19 Ways Of Playing A Chorus,FALSE,Blue Note 19; Mosaic MR3-103,1941,1941,ISSUED,Meade 'Lux' Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variations On A Theme: III. School Of Rhythm,FALSE,Blue Note 20; Mosaic MR3-103,1941,1941,ISSUED,Meade 'Lux' Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variations On A Theme: II. Self-Portrait,FALSE,Blue Note 19; Mosaic MR3-103,1941,1941,ISSUED,Meade 'Lux' Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Variations On A Theme: IV. ""Feelin' Tomorrow Like I Feel Today..""",FALSE,Blue Note 20; Mosaic MR3-103,1941,1941,ISSUED,Meade 'Lux' Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rising Tide Blues,FALSE,Blue Note 22; Mosaic MR3-103,1941,1941,ISSUED,Meade 'Lux' Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.P. Boogie,FALSE,Blue Note 24; Mosaic MR6-109,1943,1943,ISSUED,James P. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Back Water Blues,FALSE,Blue Note 25; BLP 7011; Mosaic MR6-109,1943,1943,ISSUED,James P. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carolina Balmoral,FALSE,Blue Note 25; BLP 7011; Mosaic MR6-109,1943,1943,ISSUED,James P. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gut Stomp,FALSE,Blue Note 24; BLP 7011; Mosaic MR6-109,1943,1943,ISSUED,James P. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High Society (alternate take 1),TRUE,Mosaic MR6-109,1943,1985,ISSUED,Sidney DeParis,Vic Dickenson,Edmond Hall,James P. Johnson,Jimmy Shirley,Israel Crosby,Sidney Catlett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High Society (alternate take 2),TRUE,Blue Note B-6504; Mosaic MR6-109,1943,1969,ISSUED,Sidney DeParis,Vic Dickenson,Edmond Hall,James P. Johnson,Jimmy Shirley,Israel Crosby,Sidney Catlett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
