Track,Alternate take,Catalog,Recorded,1st BN Release,Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caracas,FALSE,Blue Note BST 84370,1971,1971,ISSUED,Ed Williams,Lou Donaldson,Leon Spencer Jr.,Melvin Sparks,Jerry Jemmott,Idris Muhammad,Ray Armando,Mildred Brown,Rosalyn Brown,Naomi Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I'll Be There,FALSE,Blue Note BST 84370,1971,1971,ISSUED,Ed Williams,Lou Donaldson,Leon Spencer Jr.,Melvin Sparks,Jerry Jemmott,Idris Muhammad,Ray Armando,Mildred Brown,Rosalyn Brown,Naomi Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
When You're Smiling,FALSE,Blue Note BST 84370,1971,1971,ISSUED,Ed Williams,Lou Donaldson,Leon Spencer Jr.,Melvin Sparks,Jerry Jemmott,Idris Muhammad,Ray Armando,Mildred Brown,Rosalyn Brown,Naomi Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tom's Thumb,FALSE,Blue Note BST 84377,1971,1971,ISSUED,Jerome Richardson,Eugene Bianco,Reuben Wilson,David Spinozza,Richard Davis,Jimmy Johnson,Ray Armando,Gordon 'Specs' Powell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Right On With This Mess,FALSE,Blue Note BST 84377,1971,1971,ISSUED,Jerome Richardson,Eugene Bianco,Reuben Wilson,David Spinozza,Richard Davis,Jimmy Johnson,Ray Armando,Gordon 'Specs' Powell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercy Mercy Me (The Ecology),FALSE,Blue Note BST 84377,1971,1971,ISSUED,Jerome Richardson,Eugene Bianco,Reuben Wilson,David Spinozza,Richard Davis,Jimmy Johnson,Ray Armando,Gordon 'Specs' Powell,Mildred Brown,Rosalyn Brown,Naomi Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sho-Nuff Mellow,FALSE,Blue Note BST 84377,1971,1971,ISSUED,Jerome Richardson,Eugene Bianco,Reuben Wilson,David Spinozza,Richard Davis,Jimmy Johnson,Ray Armando,Gordon 'Specs' Powell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Set Us Free,FALSE,Blue Note BST 84377,1971,1971,ISSUED,Jerome Richardson,Eugene Bianco,Reuben Wilson,David Spinozza,Richard Davis,Jimmy Johnson,Ray Armando,Gordon 'Specs' Powell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr. Big Stuff,FALSE,Blue Note BST 84377,1971,1971,ISSUED,Jerome Richardson,Eugene Bianco,Reuben Wilson,David Spinozza,Richard Davis,Jimmy Johnson,Ray Armando,Gordon 'Specs' Powell,Mildred Brown,Rosalyn Brown,Naomi Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
We're In Love,FALSE,Blue Note BST 84377,1971,1971,ISSUED,Jerome Richardson,Eugene Bianco,Reuben Wilson,David Spinozza,Richard Davis,Jimmy Johnson,Ray Armando,Gordon 'Specs' Powell,Mildred Brown,Rosalyn Brown,Naomi Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hey Girl,FALSE,Blue Note BST 84378,1971,1971,ISSUED,Gene Harris,Monk Higgins,Freddy Robinson,Al Vescovo,Luther Hughes,Carl Burnett,Bobbye Porter Hall,Paul Humphrey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
That's Heavy,FALSE,,1971,,UNISSUED,Gene Harris,Monk Higgins,Freddy Robinson,Al Vescovo,Luther Hughes,Carl Burnett,Bobbye Porter Hall,Paul Humphrey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Did You Think,FALSE,Blue Note BST 84378,1971,1971,ISSUED,Gene Harris,Monk Higgins,Freddy Robinson,Al Vescovo,Luther Hughes,Carl Burnett,Bobbye Porter Hall,Paul Humphrey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Your Love Is Just Too Much,FALSE,Blue Note BST 84378,1971,1971,ISSUED,Gene Harris,Monk Higgins,Freddy Robinson,Al Vescovo,Luther Hughes,Carl Burnett,Bobbye Porter Hall,Paul Humphrey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(It's) The Real Thing,FALSE,,1971,,UNISSUED,Gene Harris,Monk Higgins,Freddy Robinson,Al Vescovo,Luther Hughes,Carl Burnett,Bobbye Porter Hall,Paul Humphrey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What's The Answer,FALSE,Blue Note BST 84378,1971,1971,ISSUED,Gene Harris,Monk Higgins,Freddy Robinson,Al Vescovo,Luther Hughes,Carl Burnett,Bobbye Porter Hall,Paul Humphrey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I'm Leaving,FALSE,Blue Note BST 84378,1971,1971,ISSUED,Gene Harris,Monk Higgins,Freddy Robinson,Al Vescovo,Luther Hughes,Carl Burnett,Bobbye Porter Hall,Paul Humphrey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Put On Train,FALSE,Blue Note BST 84378,1971,1971,ISSUED,Gene Harris,Monk Higgins,Freddy Robinson,Al Vescovo,Luther Hughes,Carl Burnett,Bobbye Porter Hall,Paul Humphrey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Success,FALSE,,1971,,UNISSUED,Gene Harris,Monk Higgins,Freddy Robinson,Al Vescovo,Luther Hughes,Carl Burnett,Bobbye Porter Hall,Paul Humphrey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forget Mer Not,FALSE,,1971,,UNISSUED,Gene Harris,Monk Higgins,Freddy Robinson,Al Vescovo,Luther Hughes,Carl Burnett,Bobbye Porter Hall,Paul Humphrey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You Got To Play The Game,FALSE,Blue Note BST 84378,1971,1971,ISSUED,Gene Harris,Monk Higgins,Freddy Robinson,Al Vescovo,Luther Hughes,Carl Burnett,Bobbye Porter Hall,Paul Humphrey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Fence,FALSE,,1971,,UNISSUED,Gene Harris,Monk Higgins,Freddy Robinson,Al Vescovo,Luther Hughes,Carl Burnett,Bobbye Porter Hall,Paul Humphrey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turn Around,FALSE,,1971,,UNISSUED,Gene Harris,Monk Higgins,Freddy Robinson,Al Vescovo,Luther Hughes,Carl Burnett,Bobbye Porter Hall,Paul Humphrey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Judy Blue Eyes,FALSE,,1971,,UNISSUED,Gene Harris,Monk Higgins,Freddy Robinson,Al Vescovo,Luther Hughes,Carl Burnett,Bobbye Porter Hall,Paul Humphrey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loveland,FALSE,,1971,,UNISSUED,Gene Harris,Monk Higgins,Freddy Robinson,Al Vescovo,Luther Hughes,Carl Burnett,Bobbye Porter Hall,Paul Humphrey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Take Some Time,FALSE,,1971,,UNISSUED,Gene Harris,Monk Higgins,Freddy Robinson,Al Vescovo,Luther Hughes,Carl Burnett,Bobbye Porter Hall,Paul Humphrey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
It's Your Thing,FALSE,,1971,,UNISSUED,Gene Harris,Monk Higgins,Freddy Robinson,Al Vescovo,Luther Hughes,Carl Burnett,Bobbye Porter Hall,Paul Humphrey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thank You For Loving Me,FALSE,,1971,,UNISSUED,Gene Harris,Monk Higgins,Freddy Robinson,Al Vescovo,Luther Hughes,Carl Burnett,Bobbye Porter Hall,Paul Humphrey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Since) I Lost Baby,FALSE,,1971,,UNISSUED,Gene Harris,Monk Higgins,Freddy Robinson,Al Vescovo,Luther Hughes,Carl Burnett,Bobbye Porter Hall,Paul Humphrey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eleanor Rigby,FALSE,Blue Note BST 84378,1971,1971,ISSUED,Gene Harris,Monk Higgins,Freddy Robinson,Al Vescovo,Luther Hughes,Carl Burnett,Bobbye Porter Hall,Paul Humphrey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Wish I Knew,FALSE,Blue Note 7243 5 21151 2 9,1971,1999,ISSUED,Al Aarons,Harry Edison,Freddy Hill,Melvin Moore,Lou Blackburn,George Bohanon,Billy Byers,Jimmy Cleveland,Buddy Collette,Bill Green,Teddy Edwards,Clifford Scott,Maurice Simon,Jack Wilson,Howard Roberts,Stanley Gilbert,Jimmie Smith,Lorez Alexandria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Happiness Is A Thing Called Joe,FALSE,,1971,,UNISSUED,Al Aarons,Harry Edison,Freddy Hill,Melvin Moore,Lou Blackburn,George Bohanon,Billy Byers,Jimmy Cleveland,Buddy Collette,Bill Green,Teddy Edwards,Clifford Scott,Maurice Simon,Jack Wilson,Howard Roberts,Stanley Gilbert,Jimmie Smith,Lorez Alexandria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medley: By Myself / Alone Together,FALSE,,1971,,UNISSUED,Al Aarons,Harry Edison,Freddy Hill,Melvin Moore,Lou Blackburn,George Bohanon,Billy Byers,Jimmy Cleveland,Buddy Collette,Bill Green,Teddy Edwards,Clifford Scott,Maurice Simon,Jack Wilson,Howard Roberts,Stanley Gilbert,Jimmie Smith,Lorez Alexandria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Emperor,FALSE,Blue Note 1973; BST 84380,1971,1971,ISSUED,Donald Byrd,Thurman Green,Harold Land,Bobby Hutcherson,Joe Sample,Bill Henderson III,Don Peake,Greg Poree,Wilton Felder,Ed Greene,Bobbye Porter Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamie,FALSE,Blue Note BST 84380,1971,1972,ISSUED,Donald Byrd,Thurman Green,Harold Land,Bobby Hutcherson,Joe Sample,Bill Henderson III,Don Peake,Greg Poree,Wilton Felder,Ed Greene,Bobbye Porter Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Little Rasti,FALSE,Blue Note BST 84380,1971,1971,ISSUED,Donald Byrd,Thurman Green,Harold Land,Bobby Hutcherson,Joe Sample,Bill Henderson III,Don Peake,David T. Walker,Wilton Felder,Ed Greene,Bobbye Porter Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tune Four,FALSE,,1971,,REJECTED,Donald Byrd,Thurman Green,Harold Land,Bobby Hutcherson,Joe Sample,Bill Henderson III,Don Peake,David T. Walker,Wilton Felder,Ed Greene,Bobbye Porter Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Until It's Time For You To Go,FALSE,Blue Note 7243 5 21152 2 8,1971,1999,ISSUED,Teddy Edwards,Ronnell Bright,Freddy Robinson,Bob Haynes,Harold Mason,Lorez Alexandria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You're Gonna Hear From Me,FALSE,,1971,,UNISSUED,Teddy Edwards,Ronnell Bright,Freddy Robinson,Bob Haynes,Harold Mason,Lorez Alexandria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
We've Only Just Begun,FALSE,,1971,,UNISSUED,Teddy Edwards,Ronnell Bright,Freddy Robinson,Bob Haynes,Harold Mason,Lorez Alexandria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wave,FALSE,,1971,,UNISSUED,Teddy Edwards,Ronnell Bright,Freddy Robinson,Bob Haynes,Harold Mason,Lorez Alexandria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Something,FALSE,,1971,,UNISSUED,Teddy Edwards,Ronnell Bright,Freddy Robinson,Bob Haynes,Harold Mason,Lorez Alexandria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In What Direction Are You Headed,FALSE,Blue Note BST 84381,1971,1972,ISSUED,Lee Morgan,Grachan Moncur III,Bobbi Humphrey,Billy Harper,Harold Mabern,Reggie Workman,Jymie Merritt,Freddie Waits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angela,FALSE,Blue Note BST 84381,1971,1972,ISSUED,Lee Morgan,Grachan Moncur III,Bobbi Humphrey,Billy Harper,Harold Mabern,Reggie Workman,Jymie Merritt,Freddie Waits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croquet Ballet,FALSE,Blue Note BST 84381,1971,1972,ISSUED,Lee Morgan,Grachan Moncur III,Bobbi Humphrey,Billy Harper,Harold Mabern,Reggie Workman,Jymie Merritt,Freddie Waits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inner Passions-Out,FALSE,Blue Note BST 84381,1971,1972,ISSUED,Lee Morgan,Grachan Moncur III,Bobbi Humphrey,Billy Harper,Harold Mabern,Reggie Workman,Jymie Merritt,Freddie Waits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capra Black,FALSE,Blue Note BST 84381,1971,1972,ISSUED,Lee Morgan,Grachan Moncur III,Bobbi Humphrey,Billy Harper,Harold Mabern,Reggie Workman,Jymie Merritt,Freddie Waits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ain't No Sunshine,FALSE,Blue Note 1974; BST 84379,1971,1971,ISSUED,Bobbi Humphrey,George Devens,Hank Jones,Gene Bertoncini,George Duvivier,Idris Muhammad,Ray Armando,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sad Bag,FALSE,Blue Note 1971; 1974; BST 84379,1971,1971,ISSUED,Bobbi Humphrey,George Devens,Hank Jones,Gene Bertoncini,George Duvivier,Idris Muhammad,Ray Armando,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journey To Morocco,FALSE,Blue Note BST 84379,1971,1971,ISSUED,Lee Morgan,Bobbi Humphrey,Billy Harper,George Devens,Hank Jones,Gene Bertoncini,George Duvivier,Idris Muhammad,Ray Armando,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Set Us Free,FALSE,Blue Note BST 84379,1971,1971,ISSUED,Lee Morgan,Bobbi Humphrey,Billy Harper,George Devens,Hank Jones,Gene Bertoncini,George Duvivier,Idris Muhammad,Ray Armando,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Sidewinder,FALSE,Blue Note BST 84379,1971,1971,ISSUED,Lee Morgan,Bobbi Humphrey,Billy Harper,George Devens,Frank Owens,Gene Bertoncini,Gordon Edwards,Jimmy Johnson,Ray Armando,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
It's Too Late,FALSE,Blue Note BST 84379,1971,1971,ISSUED,Bobbi Humphrey,George Devens,Frank Owens,Gene Bertoncini,Gordon Edwards,Jimmy Johnson,Ray Armando,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spanish Harlem,FALSE,Blue Note 1971; BST 84379; BN-LA699-G,1971,1971,ISSUED,Lee Morgan,Bobbi Humphrey,Billy Harper,George Devens,Frank Owens,Gene Bertoncini,Gordon Edwards,Jimmy Johnson,Ray Armando,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Don't Knock My Funk,FALSE,Blue Note BST 84379,1971,1971,ISSUED,Lee Morgan,Bobbi Humphrey,Billy Harper,George Devens,Frank Owens,Gene Bertoncini,Gordon Edwards,Jimmy Johnson,Ray Armando,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Green,FALSE,Blue Note BST 84413,1971,1972,ISSUED,Billy Wooten,Emmanuel Riggins,Grant Green,Wilton Felder,Nesbert 'Stix' Hooper,King Errisson,Harold Caldwell,Joe Newman,Victor Paz,Jimmy Sedlar,Joe Wilder,Harry DiVito,Dick Hickson,Jim Buffington,Phil Bodner,John Leone,George Marge,Romeo Penque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In The Middle,FALSE,Blue Note BST 84413,1971,1972,ISSUED,Billy Wooten,Emmanuel Riggins,Grant Green,Wilton Felder,Nesbert 'Stix' Hooper,King Errisson,Harold Caldwell,Joe Newman,Victor Paz,Jimmy Sedlar,Joe Wilder,Harry DiVito,Dick Hickson,Jim Buffington,Phil Bodner,John Leone,George Marge,Romeo Penque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medley: I Don't Want Nobody To Give Me Nothing / Open Up The Door I'll Get It Myself / Cold Sweat,FALSE,Blue Note BST 84413,1971,1972,ISSUED,Billy Wooten,Emmanuel Riggins,Grant Green,Wilton Felder,Nesbert 'Stix' Hooper,King Errisson,Harold Caldwell,Joe Newman,Victor Paz,Jimmy Sedlar,Joe Wilder,Harry DiVito,Dick Hickson,Jim Buffington,Phil Bodner,John Leone,George Marge,Romeo Penque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
If You Really Love Me,FALSE,Blue Note BST 84413,1971,1972,ISSUED,Billy Wooten,Emmanuel Riggins,Grant Green,Wilton Felder,Nesbert 'Stix' Hooper,King Errisson,Harold Caldwell,Joe Newman,Victor Paz,Jimmy Sedlar,Joe Wilder,Harry DiVito,Dick Hickson,Jim Buffington,Phil Bodner,John Leone,George Marge,Romeo Penque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cast Your Fate To The Wind,FALSE,Blue Note BST 84413,1971,1972,ISSUED,Billy Wooten,Emmanuel Riggins,Grant Green,Wilton Felder,Nesbert 'Stix' Hooper,King Errisson,Harold Caldwell,Joe Newman,Victor Paz,Jimmy Sedlar,Joe Wilder,Harry DiVito,Dick Hickson,Jim Buffington,Phil Bodner,John Leone,George Marge,Romeo Penque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunrise, Sunset",FALSE,Blue Note BST 84413,1971,1972,ISSUED,Billy Wooten,Emmanuel Riggins,Grant Green,Wilton Felder,Nesbert 'Stix' Hooper,King Errisson,Harold Caldwell,Joe Newman,Victor Paz,Jimmy Sedlar,Joe Wilder,Harry DiVito,Dick Hickson,Jim Buffington,Phil Bodner,John Leone,George Marge,Romeo Penque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Never My Love,FALSE,Blue Note BST 84413,1971,1972,ISSUED,Billy Wooten,Emmanuel Riggins,Grant Green,Wilton Felder,Nesbert 'Stix' Hooper,King Errisson,Harold Caldwell,Joe Newman,Victor Paz,Jimmy Sedlar,Joe Wilder,Harry DiVito,Dick Hickson,Jim Buffington,Phil Bodner,John Leone,George Marge,Romeo Penque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Got To Be There,FALSE,Blue Note BST 84413,1971,1972,ISSUED,Billy Wooten,Emmanuel Riggins,Grant Green,Wilton Felder,Nesbert 'Stix' Hooper,King Errisson,Harold Caldwell,Joe Newman,Victor Paz,Jimmy Sedlar,Joe Wilder,Harry DiVito,Dick Hickson,Jim Buffington,Phil Bodner,John Leone,George Marge,Romeo Penque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Past, Present And Future",FALSE,Blue Note BST 84415,1971,1972,ISSUED,Irving Markowitz,Marvin Stamm,Phil Bodner,Harold Vick,Julian Barber,Harry Zaratzian,Seymour Barab,Charles McCracken,Eugene Bianco,Warren Smith,George Devens,Richard Tee,Cornell Dupree,Grant Green,Gordon Edwards,Grady Tate,Ralph MacDonald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fountain Scene,FALSE,Blue Note BST 84415,1971,1972,ISSUED,Irving Markowitz,Marvin Stamm,Phil Bodner,Harold Vick,Julian Barber,Harry Zaratzian,Seymour Barab,Charles McCracken,Eugene Bianco,Warren Smith,George Devens,Richard Tee,Cornell Dupree,Grant Green,Gordon Edwards,Grady Tate,Ralph MacDonald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soul Food-African Shop,FALSE,Blue Note BST 84415,1971,1972,ISSUED,Irving Markowitz,Marvin Stamm,Phil Bodner,Harold Vick,Julian Barber,Harry Zaratzian,Seymour Barab,Charles McCracken,Eugene Bianco,Warren Smith,George Devens,Richard Tee,Cornell Dupree,Grant Green,Gordon Edwards,Grady Tate,Ralph MacDonald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slight Fear And Terror,FALSE,Blue Note BST 84415,1971,1972,ISSUED,Irving Markowitz,Marvin Stamm,Phil Bodner,Harold Vick,Julian Barber,Harry Zaratzian,Seymour Barab,Charles McCracken,Eugene Bianco,Warren Smith,George Devens,Richard Tee,Cornell Dupree,Grant Green,Gordon Edwards,Grady Tate,Ralph MacDonald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luanna's Theme,FALSE,Blue Note BST 84415,1971,1972,ISSUED,Irving Markowitz,Marvin Stamm,Phil Bodner,Harold Vick,Julian Barber,Harry Zaratzian,Seymour Barab,Charles McCracken,Eugene Bianco,Warren Smith,George Devens,Richard Tee,Cornell Dupree,Grant Green,Gordon Edwards,Grady Tate,Ralph MacDonald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Final Comedown,FALSE,Blue Note BST 84415,1971,1972,ISSUED,Irving Markowitz,Marvin Stamm,Phil Bodner,Harold Vick,Julian Barber,Harry Zaratzian,Seymour Barab,Charles McCracken,Eugene Bianco,George Devens,Richard Tee,Cornell Dupree,Grant Green,Gordon Edwards,Grady Tate,Ralph MacDonald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afro Party,FALSE,Blue Note 1983; BST 84415,1971,1972,ISSUED,Irving Markowitz,Marvin Stamm,Phil Bodner,Harold Vick,Julian Barber,Harry Zaratzian,Seymour Barab,Charles McCracken,Eugene Bianco,George Devens,Richard Tee,Cornell Dupree,Grant Green,Gordon Edwards,Grady Tate,Ralph MacDonald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traveling To Get To Doc,FALSE,Blue Note BST 84415,1971,1972,ISSUED,Irving Markowitz,Marvin Stamm,Phil Bodner,Harold Vick,Julian Barber,Harry Zaratzian,Seymour Barab,Charles McCracken,Eugene Bianco,George Devens,Richard Tee,Cornell Dupree,Grant Green,Gordon Edwards,Grady Tate,Ralph MacDonald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One Second After Death,FALSE,Blue Note BST 84415,1971,1972,ISSUED,Irving Markowitz,Marvin Stamm,Phil Bodner,Harold Vick,Julian Barber,Harry Zaratzian,Seymour Barab,Charles McCracken,Eugene Bianco,George Devens,Richard Tee,Cornell Dupree,Grant Green,Gordon Edwards,Grady Tate,Ralph MacDonald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Father's Lament,FALSE,Blue Note 1983; BST 84415,1971,1972,ISSUED,Burt Collins,Marvin Stamm,Romeo Penque,Harold Vick,Julian Barber,Harry Zaratzian,Seymour Barab,Charles McCracken,Eugene Bianco,Warren Smith,George Devens,Richard Tee,Cornell Dupree,Grant Green,Gordon Edwards,Bernard Purdie,Ralph MacDonald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battle Scene (The Battle),FALSE,Blue Note 1972; BST 84415,1971,1972,ISSUED,Burt Collins,Marvin Stamm,Romeo Penque,Harold Vick,Julian Barber,Harry Zaratzian,Seymour Barab,Alan Shulman,Eugene Bianco,Warren Smith,George Devens,Richard Tee,Cornell Dupree,Grant Green,Gordon Edwards,Bernard Purdie,Ralph MacDonald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round Town,FALSE,Blue Note BST 84414,1971,1972,ISSUED,Steve Grossman,Dave Liebman,Joe Farrell,Pepper Adams,Chick Corea,Jan Hammer,Yoshiaki Masuo,Gene Perla,Elvin Jones,Don Alias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brite Piece,FALSE,Blue Note BST 84414,1971,1972,ISSUED,Steve Grossman,Dave Liebman,Joe Farrell,Pepper Adams,Chick Corea,Jan Hammer,Yoshiaki Masuo,Gene Perla,Elvin Jones,Don Alias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lungs,FALSE,Blue Note BST 84414,1971,1972,ISSUED,Steve Grossman,Dave Liebman,Joe Farrell,Pepper Adams,Chick Corea,Jan Hammer,Yoshiaki Masuo,Gene Perla,Elvin Jones,Don Alias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
